Package	Version	Use
statmod	1.5.0	Analysis
stringi	1.8.7	Analysis
stringr	1.5.1	Analysis
svglite	2.2.1	Analysis
sys	3.4.3	Analysis
sysfonts	0.8.9	Analysis
systemfonts	1.2.3	Analysis
terra	1.8-54	Analysis
testthat	3.2.3	Analysis
textshaping	1.0.1	Analysis
TH.data	1.1-3	Analysis
tibble	3.2.1	Analysis
tidyr	1.3.1	Analysis
tidyselect	1.2.1	Analysis
tidyverse	2.0.0	Analysis
timechange	0.3.0	Analysis
tinytex	0.57	Analysis
TSP	1.2-5	Analysis
tweedie	2.3.5	Analysis
tzdb	0.5.0	Analysis
units	0.8-7	Analysis
urlchecker	1.0.1	Analysis
usethis	3.1.0	Analysis
utf8	1.2.4	Analysis
uuid	1.2-1	Analysis
vcd	1.4-13	Analysis
vctrs	0.6.5	Analysis
vegan	2.6-10	Analysis
vipor	0.4.7	Analysis
viridis	0.6.5	Visualisation
viridisLite	0.4.2	Analysis
vroom	1.6.5	Analysis
waldo	0.6.1	Analysis
whisker	0.4.1	Analysis
withr	3.0.2	Analysis
wk	0.9.4	Analysis
wordcloud	2.6	Analysis
writexl	1.5.4	Analysis
xfun	0.52	Analysis
xml2	1.3.8	Analysis
xopen	1.0.1	Analysis
xtable	1.8-4	Analysis
yaml	2.3.10	Analysis
zip	2.3.3	Analysis
zoo	1.8-14	Analysis
base	4.3.3	Analysis
boot	1.3-29	Analysis
class	7.3-22	Analysis
cluster	2.1.6	Analysis
codetools	0.2-19	Analysis
compiler	4.3.3	Analysis
datasets	4.3.3	Analysis
foreign	0.8-86	Analysis
graphics	4.3.3	Visualisation
grDevices	4.3.3	Analysis
grid	4.3.3	Analysis
KernSmooth	2.23-22	Analysis
lattice	0.22-5	Visualisation
MASS	7.3-60.0.1	Analysis
Matrix	1.6-5	Analysis
methods	4.3.3	Analysis
mgcv	1.9-1	Analysis
nlme	3.1-164	Analysis
nnet	7.3-19	Analysis
parallel	4.3.3	Analysis
rpart	4.1.23	Analysis
spatial	7.3-17	Analysis
splines	4.3.3	Analysis
stats	4.3.3	Analysis
stats4	4.3.3	Analysis
survival	3.5-8	Analysis
tcltk	4.3.3	Analysis
tools	4.3.3	Analysis
translations	4.3.3	Analysis
utils	4.3.3	Analysis
anaconda-anon-usage	0.4.4	Webapp
anaconda_powershell_prompt	1.1.0	Webapp
anaconda_prompt	1.1.0	Webapp
archspec	0.2.3	Webapp
biom-format	2.1.16	Webapp
blas	1.0	Webapp
boltons	23.0.0	Webapp
bottleneck	1.4.2	Webapp
brotli	1.1.0	Webapp
brotli-bin	1.1.0	Webapp
brotli-python	1.0.9	Webapp
bzip2	1.0.8	Webapp
ca-certificates	2025.8.3	Webapp
cached-property	1.5.2	Webapp
cached_property	1.5.2	Webapp
certifi	2025.8.3	Webapp
cffi	1.17.1	Webapp
charset-normalizer	3.3.2	Webapp
choreographer	1.0.10	Webapp
click	8.1.7	Webapp
colorama	0.4.6	Webapp
conda	24.11.3	Webapp
conda-content-trust	0.2.0	Webapp
conda-libmamba-solver	24.9.0	Webapp
conda-package-handling	2.3.0	Webapp
conda-package-streaming	0.10.0	Webapp
cryptography	43.0.0	Webapp
cycler	0.12.1	Webapp
distro	1.9.0	Webapp
et_xmlfile	2.0.0	Webapp
exceptiongroup	1.2.2	Webapp
expat	2.6.3	Webapp
fmt	9.1.0	Webapp
freetype	2.12.1	Webapp
frozendict	2.4.2	Webapp
greenlet	3.1.1	Webapp
h5py	3.12.1	Webapp
hdf5	1.14.3	Webapp
idna	3.7	Webapp
iniconfig	2.0.0	Webapp
intel-openmp	2023.1.0	Webapp
jsonpatch	1.33	Webapp
